Önerilen Raporlama Kurgusu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
A. Faaliyet sınıflandırma modeli,,,,,,Not
Seviye,Kategori,Tanım,Raporlama Şekli,Ölçü Örnekleri,,"Bu model; hizmet standardı, kontrol listesi, RACI, tekil kayıt, SLA/KPI ve haftalık operasyonel koordinasyon mantığına göre tasarlanmıştır."
1,Operasyonel Hizmet,Sahada veya hizmet noktalarında sürekli yürütülen ana hizmet,Haftalık sayısal KPI + sapma özeti,"adet, kişi, ton/kg, m2/m, km, saat, araç, olay sayısı, tamamlama süresi",,
2,Başvuru / İşlem,"Vatandaş, kurum veya iç paydaş başvurusuna dayalı işlem",Gelen-sonuçlanan-bekleyen + SLA,"başvuru sayısı, sonuçlanan sayısı, bekleyen dosya, ort. gün",,
3,Denetim / Uyum,"Mevzuat, saha uygunluğu, kontrol ve tebligat süreçleri",Denetim sayısı + uygunsuzluk + kapanış,"denetim sayısı, tutanak sayısı, uygunsuzluk, kapanış oranı",,
4,Proje / Yatırım / Sözleşme,"Başlangıç ve bitişi olan yatırım, yapım, ihale, hakediş veya proje işi","Haftalık yalnız kilometre taşı, gecikme ve karar ihtiyacı","% ilerleme, gerçekleşen kilometre taşı, gecikme günü, hakediş sayısı",,
5,Destek / İç İşleyiş,"İdari, mali, teknik ve kurum içi destek süreçleri",Sadece hacimli veya kritik olanlar haftalık; diğerleri aylık,"iş emri sayısı, destek talebi, tamamlanan iş, stok, mutabakat",,
6,Strateji / İyileştirme / Eğitim,"Yönerge, süreç tasarımı, eğitim, plan, DÖF ve iyileştirme işleri",Haftalık yalnız tamamlanan kritik çıktı veya gecikme,"tamamlanan doküman, eğitim sayısı, katılımcı, açık DÖF",,
7,Olağanüstü / Kriz / Acil,"Afet, arıza, yangın, acil müdahale, kritik kesinti",Her hafta ayrı blokta olay bazlı,"olay sayısı, müdahale süresi, etkilenen kişi/alan, kapanış süresi",,
8,İletişim / Memnuniyet / Paydaş,"Çağrı merkezi, memnuniyet, toplantı, protokol ve bilgilendirme",Hacim + memnuniyet + açık kritik konu,"çağrı sayısı, memnuniyet %, toplantı sayısı, geri bildirim kapanış oranı",,
,,,,,,
B. Raporlama katmanları,,,,,,
Katman,Adı,Kural,,,,
Katman 1,Haftalık Operasyonel Gösterge,"Yalnız çekirdek süreç hacmi, sonuçlanan iş, bekleyen iş, SLA ve kritik sapma raporlanır.",,,,
Katman 2,Kritik İstisna / Karar Notu,"Haftaya özel risk, gecikme, kaynak ihtiyacı, mevzuat riski ve üst yönetim kararı gerektiren konu yazılır.",,,,
Katman 3,Proje / Milestone İzleme,"Uzun soluklu yatırım, proje, ihale, plan ve iyileştirme işleri sadece kilometre taşı mantığıyla izlenir; mikro adımlar yazılmaz.",,,,
,,,,,,
C. Haftalık rapora alma kuralları,,,,,,
No,Kural,,,,,
1,Bir faaliyet haftalık rapora girecekse ölçülebilir bir çıktısı olmalıdır.,,,,,
2,"Mikro görevler değil, süreç ailesi raporlanmalıdır. Örnek: 'yazıcı bağlandı' yerine 'son kullanıcı destek talepleri'.",,,,,
3,Rutin süreçlerde 'gelen-sonuçlanan-bekleyen-SLA' mantığı kullanılmalıdır.,,,,,
4,"Uzun soluklu projeler haftalık listede mikro adımlarla değil, kilometre taşı ve % ilerleme ile raporlanmalıdır.",,,,,
5,"Tek seferlik yazışma, olur, dosya iletimi vb. işler yalnız üst yönetim kararı veya kritik risk içeriyorsa rapora girmelidir.",,,,,
6,"Her süreç için tek sorumlu müdürlük, veri kaynağı ve raporlama birimi tanımlanmalıdır.",,,,,
7,Aynı verinin iki yerde tutulmaması için EBYS / CRM / iş emri / SCADA gibi asıl sistem tek kayıt kaynağı kabul edilmelidir.,,,,,
